annual_income,loan_amount,employment_years,credit_history_months,debt_to_income,previous_defaults,approved
75000,150000,2,18,0.35,0,0
95000,160000,4,24,0.28,0,1
110000,180000,5,36,0.25,0,1
58000,90000,1,12,0.42,1,0
72000,130000,3,30,0.31,0,0
130000,220000,7,60,0.22,0,1
87000,155000,4,48,0.27,0,1
68000,120000,2,18,0.39,1,0
140000,250000,8,72,0.20,0,1
54000,80000,1,10,0.45,1,0
100000,170000,5,42,0.24,0,1
76000,135000,3,28,0.33,0,0
124000,210000,6,54,0.23,0,1
61000,95000,2,20,0.41,1,0
90000,160000,4,39,0.26,0,1
48000,70000,1,8,0.48,1,0
135000,230000,8,78,0.19,0,1
77000,140000,3,32,0.32,0,0
118000,200000,6,50,0.21,0,1
63000,100000,2,16,0.40,1,0
145000,260000,9,84,0.18,0,1
82000,150000,4,45,0.29,0,1
56000,85000,1,9,0.44,1,0
103000,175000,5,44,0.24,0,1
71000,125000,3,27,0.34,0,0
128000,215000,7,64,0.22,0,1
59000,92000,1,14,0.43,1,0
97000,165000,5,52,0.25,0,1
65000,110000,2,19,0.38,0,0
132000,225000,7,66,0.21,0,1
60000,98000,2,15,0.42,1,0
111000,190000,6,58,0.23,0,1
74000,128000,3,26,0.35,0,0
122000,205000,6,56,0.22,0,1
67000,115000,2,17,0.37,0,0
101000,170000,5,43,0.25,0,1
73000,129000,3,29,0.34,0,0
117000,198000,6,57,0.23,0,1
